,isFaculty,isStaff,isStudent,building,buildingKey,room,comfort,quarter,timestamp,activity,clothing
0,FALSE,False,True,Giedt Hall,DV-01-001586,1003,Chilly,fall2014,Sat Nov 01 2014 11:50:00 GMT-0700 (PDT),,
1,FALSE,False,True,Tercero Community,DV-01-000536,410a,Warm,fall2014,Sat Nov 01 2014 12:15:00 GMT-0700 (PDT),,
2,FALSE,False,False,Regan Main,DV-01-000348,"Paloma building,210A",Cold,fall2014,Sat Nov 01 2014 14:04:00 GMT-0700 (PDT),,
3,FALSE,False,True,Segundo Miller,DV-01-001564,420,Cold,fall2014,Sat Nov 01 2014 14:44:00 GMT-0700 (PDT),,
4,FALSE,False,True,Memorial Union,DV-01-000152,Market Place,Perfect,fall2014,Sat Nov 01 2014 16:38:00 GMT-0700 (PDT),,
5,FALSE,False,True,Segundo North - Henry Alder Hall,DV-01-001562,407A,Hot,fall2014,Sat Nov 01 2014 16:48:00 GMT-0700 (PDT),,
6,FALSE,True,True,Segundo Services Center,DV-01-001811,,Perfect,fall2014,Sat Nov 01 2014 20:59:00 GMT-0700 (PST),,
7,FALSE,True,True,Activities and Recreation Center,DV-01-001559,,Chilly,fall2014,Sat Nov 01 2014 20:44:00 GMT-0700 (PST),,
8,FALSE,False,True,Chemistry,DV-01-000453,179,Cold,fall2014,Sun Nov 02 2014 00:37:00 GMT-0700 (PST),,
9,FALSE,True,True,Young Hall,DV-01-000058,198,Cold,fall2014,Sat Nov 01 2014 13:25:00 GMT-0700 (PDT),,
10,FALSE,False,True,Valley Hall,DV-01-001581,2062,Cold,fall2014,Sun Nov 02 2014 11:31:00 GMT-0800 (PST),,
11,FALSE,False,True,Kemper Hall,DV-01-001040,67,Cold,fall2014,Sun Nov 02 2014 08:00:00 GMT-0800 (PST),,
12,FALSE,False,True,Valley Hall,DV-01-001581,2062,Cold,fall2014,Sun Nov 02 2014 11:32:00 GMT-0800 (PST),,
13,FALSE,False,True,Chemistry,DV-01-000453,,Cold,fall2014,Sat Nov 01 2014 20:39:00 GMT-0700 (PST),,
14,FALSE,False,True,Segundo Bixby,DV-01-000203,509A,Cold,fall2014,Sun Nov 02 2014 12:30:00 GMT-0800 (PST),,
15,FALSE,False,False,Earth and Physical Sciences Building,DV-01-001762,2314,Warm,fall2014,Sun Nov 02 2014 12:17:00 GMT-0800 (PST),,
16,FALSE,False,True,Regan Nova,DV-01-000351,309B,Cold,fall2014,Sun Nov 02 2014 12:55:00 GMT-0800 (PST),,
17,FALSE,False,True,Valley Hall,DV-01-001581,2062,Chilly,fall2014,Sun Nov 02 2014 08:52:00 GMT-0800 (PST),,
18,FALSE,False,True,Chemistry,DV-01-000453,174,Cold,fall2014,Sun Nov 02 2014 14:04:00 GMT-0800 (PST),,
19,FALSE,False,True,Bainer Hall,DV-01-000462,,Chilly,fall2014,Sat Nov 01 2014 11:33:00 GMT-0700 (PDT),,
20,FALSE,True,True,Regan Indio,DV-01-000354,207A,Chilly,fall2014,Sun Nov 02 2014 13:06:00 GMT-0800 (PST),,
21,FALSE,False,True,Shields Library,DV-01-000056,24 hrs Study Room,Cold,fall2014,Sun Nov 02 2014 14:26:00 GMT-0800 (PST),,
22,FALSE,False,True,Tercero Community,DV-01-000536,,Cold,fall2014,Sat Nov 01 2014 12:22:00 GMT-0700 (PDT),,
